,ID,prepost,Start time,I think about climate change,I think the world's climate is changing,I'm worried about the effects of climate change on my community,I think it's too late to do anything about climate change,I know about the history of flooding in my community,I know what the government and local authority are doing to help my community to cope with climate change,I understand the difference between climate change mitigation and climate change adaptation,I think technology is the most important tool we have to help us to adapt to climate change,I think interactive maps are a useful tool for talking about and demonstrating the effects of climate change,Games are a good way to help us to imagine the effects of climate change,Imagining what our lives will be like in the future is a good way to discuss adaptation to climate change,I think that changing my own behaviour can help to limit the effects of climate change,deis
24,148,pre,2022-09-14 11:23:22,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Strongly disagree,Agree,Agree,True
25,150,pre,2022-09-14 11:23:22,Rarely,Definitely changing,A little worried,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,True
26,147,pre,2022-09-14 11:23:23,Often,Definitely changing,A little worried,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,True
27,152,pre,2022-09-14 11:23:23,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Neutral,Agree,True
28,146,pre,2022-09-14 11:23:26,Very often,Definitely changing,Very worried,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Agree,True
29,155,pre,2022-09-14 11:23:26,Very often,Definitely changing,Very worried,Strongly disagree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Strongly agree,Strongly agree,True
30,151,pre,2022-09-14 11:23:28,Rarely,Maybe changing,A little worried,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,True
31,159,pre,2022-09-14 11:23:29,Very often,Definitely changing,Very worried,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Strongly agree,True
32,156,pre,2022-09-14 11:23:31,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,True
33,163,pre,2022-09-14 11:23:34,Very often,Definitely changing,Very worried,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,True
34,154,pre,2022-09-14 11:23:37,Sometimes,Probably changing,A little worried,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,True
35,164,pre,2022-09-14 11:23:37,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree,Strongly agree,True
36,158,pre,2022-09-14 11:23:46,Rarely,Maybe changing,A little worried,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,True
37,162,pre,2022-09-14 11:25:25,Rarely,Probably changing,Not worried at all,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Strongly disagree,Agree,Neutral,True
38,165,pre,2022-09-14 11:33:00,Very often,Probably changing,Very worried,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Strongly agree,True
39,175,pre,2022-09-16 11:38:23,Rarely,Maybe changing,Not worried at all,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,True
40,181,pre,2022-09-16 11:38:27,Sometimes,Definitely changing,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,True
41,174,pre,2022-09-16 11:38:28,Often,Definitely changing,A little worried,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Agree,True
42,166,pre,2022-09-16 11:38:29,Often,Probably changing,A little worried,Disagree,Disagree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,True
43,180,pre,2022-09-16 11:38:30,Never,Definitely changing,A little worried,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,True
44,171,pre,2022-09-16 11:38:32,Rarely,Definitely changing,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Strongly agree,Neutral,Agree,Agree,True
45,176,pre,2022-09-16 11:38:32,All the time,Definitely changing,Very worried,Agree,Disagree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,True
46,170,pre,2022-09-16 11:38:34,Sometimes,Definitely changing,A little worried,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,True
47,167,pre,2022-09-16 11:38:35,Very often,Definitely changing,Extremely worried,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,True
48,169,pre,2022-09-16 11:38:36,Often,Definitely changing,Very worried,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Agree,True
49,183,pre,2022-09-16 11:38:38,Often,Probably changing,A little worried,Disagree,Strongly disagree,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,True
50,177,pre,2022-09-16 11:38:39,Sometimes,Probably not changing,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,True
51,178,pre,2022-09-16 11:38:41,Very often,Definitely changing,Very worried,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Strongly agree,True
52,179,pre,2022-09-16 11:38:41,Sometimes,Probably not changing,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,True
53,172,pre,2022-09-16 11:38:45,Sometimes,Definitely changing,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Agree,True
54,184,pre,2022-09-16 11:38:46,Sometimes,Probably not changing,Neutral,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,True
55,173,pre,2022-09-16 11:38:48,Sometimes,Definitely changing,Very worried,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Agree,Strongly agree,True
56,182,pre,2022-09-16 11:38:48,Sometimes,Maybe changing,Not worried at all,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,True
57,168,pre,2022-09-16 11:38:56,Rarely,Definitely changing,A little worried,Disagree,Agree,Disagree,Strongly disagree,Agree,Neutral,Agree,Strongly agree,Agree,True
58,187,pre,2022-09-16 11:39:20,Rarely,Definitely changing,A little worried,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,True
59,186,pre,2022-09-16 11:39:46,Often,Definitely changing,Very worried,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,True
60,185,pre,2022-09-16 11:43:53,Often,Probably changing,A little worried,Disagree,Strongly disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,True
61,188,pre,2022-09-16 11:51:16,Often,Probably changing,A little worried,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,True
62,190,pre,2022-09-16 12:20:03,Rarely,Maybe changing,Not worried at all,Agree,Disagree,Neutral,Agree,Strongly agree,Neutral,Neutral,Agree,Disagree,True
63,189,pre,2022-09-16 12:20:04,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,True
64,195,pre,2022-09-16 12:20:04,Sometimes,Probably changing,A little worried,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,True
65,198,pre,2022-09-16 12:20:04,Rarely,Probably changing,Not worried at all,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree,Disagree,True
66,191,pre,2022-09-16 12:20:05,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Disagree,Strongly disagree,Agree,Neutral,Agree,Agree,Disagree,True
67,197,pre,2022-09-16 12:20:06,Often,Definitely changing,A little worried,Disagree,Disagree,Neutral,Strongly disagree,Agree,Agree,Agree,Agree,Agree,True
68,199,pre,2022-09-16 12:20:06,Often,Definitely changing,A little worried,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,True
69,192,pre,2022-09-16 12:20:09,Never,Maybe changing,Neutral,Neutral,Neutral,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly disagree,Neutral,Disagree,True
70,201,pre,2022-09-16 12:20:09,Never,Maybe changing,Neutral,Disagree,Strongly disagree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,True
71,202,pre,2022-09-16 12:20:09,Never,Probably changing,Not worried at all,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,True
72,193,pre,2022-09-16 12:20:10,Often,Definitely changing,Extremely worried,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Neutral,True
73,200,pre,2022-09-16 12:20:10,Rarely,Definitely changing,A little worried,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,True
74,204,pre,2022-09-16 12:20:13,Sometimes,Probably changing,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Agree,True
75,203,pre,2022-09-16 12:20:15,Sometimes,Probably changing,A little worried,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,True
76,196,pre,2022-09-16 12:20:18,Sometimes,Probably changing,A little worried,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,True
77,194,pre,2022-09-16 12:20:24,Never,Probably changing,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,True
78,205,pre,2022-09-16 12:20:53,Sometimes,Definitely changing,A little worried,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,True
79,207,pre,2022-09-16 12:20:54,Often,Definitely changing,A little worried,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,True
80,208,pre,2022-09-16 12:21:28,Never,Probably changing,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Agree,Neutral,True
81,206,pre,2022-09-16 12:23:04,Sometimes,Definitely changing,Neutral,Neutral,Agree,Disagree,Strongly disagree,Neutral,Neutral,Agree,Disagree,Strongly disagree,True
82,209,pre,2022-09-16 12:31:38,Sometimes,Maybe changing,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,True
83,210,pre,2022-09-16 12:33:59,Never,Probably not changing,Not worried at all,Agree,Neutral,Disagree,Agree,Strongly agree,Agree,Disagree,Neutral,Disagree,True
84,211,pre,2022-09-16 12:34:58,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,True
85,225,pre,2022-09-20 09:00:27,Sometimes,Definitely changing,Not worried at all,Neutral,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly agree,Agree,Neutral,Agree,True
86,212,pre,2022-09-20 09:00:28,Sometimes,Definitely changing,A little worried,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,True
87,214,pre,2022-09-20 09:00:28,Sometimes,Probably changing,A little worried,Disagree,Neutral,Agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Disagree,True
88,216,pre,2022-09-20 09:00:28,Rarely,Probably not changing,Not worried at all,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,True
89,218,pre,2022-09-20 09:00:28,Often,Definitely changing,Very worried,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly agree,Neutral,Agree,Agree,True
90,224,pre,2022-09-20 09:00:29,Sometimes,Definitely changing,Very worried,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Strongly agree,True
91,226,pre,2022-09-20 09:00:29,Very often,Definitely changing,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,True
92,227,pre,2022-09-20 09:00:29,Rarely,Definitely changing,Neutral,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,True
93,229,pre,2022-09-20 09:00:31,Rarely,Probably changing,A little worried,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,True
94,219,pre,2022-09-20 09:00:33,Rarely,Probably changing,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,True
95,215,pre,2022-09-20 09:00:34,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Agree,Neutral,Agree,Strongly agree,True
96,221,pre,2022-09-20 09:00:34,Rarely,Maybe changing,A little worried,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,True
97,228,pre,2022-09-20 09:00:36,Very often,Definitely changing,Very worried,Disagree,Neutral,Strongly disagree,Neutral,Agree,Disagree,Strongly disagree,Strongly agree,Agree,True
98,217,pre,2022-09-20 09:00:39,Rarely,Probably changing,Neutral,Disagree,Agree,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Agree,Agree,True
99,213,pre,2022-09-20 09:00:48,Rarely,Definitely changing,A little worried,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,True
100,231,pre,2022-09-20 09:01:02,Often,Definitely changing,A little worried,Neutral,Agree,Disagree,Neutral,Strongly disagree,Neutral,Agree,Strongly agree,Agree,True
101,220,pre,2022-09-20 09:01:03,Often,Definitely changing,Very worried,Disagree,Neutral,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,True
102,222,pre,2022-09-20 09:01:16,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,True
103,223,pre,2022-09-20 09:01:25,Rarely,Definitely changing,Very worried,Disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Agree,True
104,230,pre,2022-09-20 09:02:41,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,True
105,234,pre,2022-09-20 09:03:11,All the time,Definitely changing,A little worried,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,True
106,232,pre,2022-09-20 09:03:13,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Strongly agree,Agree,Agree,True
107,233,pre,2022-09-20 09:03:15,Very often,Definitely changing,A little worried,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,True
108,235,pre,2022-09-20 09:14:15,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,True
109,236,pre,2022-09-20 12:59:51,All the time,Definitely changing,Extremely worried,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,False
110,237,pre,2022-09-20 15:40:26,Often,Definitely changing,Very worried,Agree,Disagree,Strongly disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,False
111,238,pre,2022-09-20 15:40:33,Rarely,Definitely changing,Very worried,Disagree,Disagree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,False
112,240,pre,2022-09-20 15:40:38,Very often,Definitely changing,Very worried,Strongly disagree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,False
113,241,pre,2022-09-20 15:40:40,Sometimes,Definitely changing,Very worried,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,False
114,242,pre,2022-09-20 15:40:40,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,False
115,246,pre,2022-09-20 15:40:43,Rarely,Probably changing,Neutral,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,False
116,244,pre,2022-09-20 15:40:44,Sometimes,Maybe changing,Neutral,Strongly disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,False
117,245,pre,2022-09-20 15:40:44,Sometimes,Definitely changing,A little worried,Neutral,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Strongly agree,Neutral,False
118,239,pre,2022-09-20 15:40:46,Sometimes,Probably changing,Not worried at all,Disagree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,False
119,248,pre,2022-09-20 15:40:46,Sometimes,Maybe changing,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,False
120,243,pre,2022-09-20 15:40:47,Often,Definitely changing,Very worried,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Neutral,False
121,247,pre,2022-09-20 15:43:55,Rarely,Definitely changing,Neutral,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Neutral,False
122,249,pre,2022-09-21 09:48:53,Very often,Definitely changing,Very worried,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,False
123,253,pre,2022-09-21 09:48:53,Often,Definitely changing,A little worried,Strongly disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Strongly agree,Agree,False
124,254,pre,2022-09-21 09:48:53,Sometimes,Probably changing,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,False
125,251,pre,2022-09-21 09:48:54,Sometimes,Definitely changing,A little worried,Disagree,Strongly disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,False
126,256,pre,2022-09-21 09:48:54,Often,Definitely changing,A little worried,Neutral,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Neutral,False
127,252,pre,2022-09-21 09:48:56,Very often,Definitely changing,Extremely worried,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,False
128,250,pre,2022-09-21 09:49:01,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,False
129,260,pre,2022-09-21 09:49:26,Never,Probably changing,Not worried at all,Disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Neutral,Agree,Agree,False
130,259,pre,2022-09-21 09:49:36,Sometimes,Definitely changing,Very worried,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,False
131,258,pre,2022-09-21 09:49:39,Often,Probably changing,A little worried,Neutral,Disagree,Neutral,Disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,False
132,261,pre,2022-09-21 09:49:39,Rarely,Probably changing,Not worried at all,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,False
133,257,pre,2022-09-21 09:49:40,Rarely,Maybe changing,A little worried,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,False
134,255,pre,2022-09-21 09:50:01,Sometimes,Definitely changing,A little worried,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,Neutral,False
135,262,pre,2022-09-21 10:01:44,Rarely,Maybe changing,A little worried,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,False
136,274,pre,2022-09-22 13:49:55,Sometimes,Definitely changing,A little worried,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,True
137,275,pre,2022-09-22 13:52:21,Sometimes,Definitely changing,Extremely worried,Strongly disagree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,True
138,278,pre,2022-09-22 13:52:34,Sometimes,Definitely changing,Very worried,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,True
139,282,pre,2022-09-22 13:52:58,Rarely,Probably changing,Neutral,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,Neutral,True
140,277,pre,2022-09-22 13:53:00,Often,Definitely changing,Very worried,Strongly disagree,Neutral,Disagree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,True
141,276,pre,2022-09-22 13:53:12,Rarely,Probably changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
142,283,pre,2022-09-22 13:53:45,Sometimes,Probably changing,Neutral,Strongly disagree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neutral,True
143,280,pre,2022-09-22 13:54:01,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,True
144,279,pre,2022-09-22 13:54:45,Rarely,Probably changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
145,281,pre,2022-09-22 13:55:50,Rarely,Probably changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
146,284,pre,2022-09-22 13:55:55,Often,Definitely changing,Very worried,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,True
147,285,pre,2022-09-22 13:56:17,Never,Definitely not changing,Not worried at all,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,True
148,286,pre,2022-09-22 13:56:29,Rarely,Maybe changing,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,True
149,291,pre,2022-09-22 13:56:34,Sometimes,Definitely changing,Not worried at all,Strongly agree,Disagree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly disagree,True
150,287,pre,2022-09-22 13:56:37,Sometimes,Probably changing,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,True
151,289,pre,2022-09-22 13:56:49,Often,Definitely changing,A little worried,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,True
152,290,pre,2022-09-22 13:57:44,Rarely,Probably changing,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,True
153,288,pre,2022-09-22 13:57:58,Rarely,Maybe changing,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,True
154,295,pre,2022-09-22 13:58:34,Sometimes,Definitely changing,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,True
155,292,pre,2022-09-22 14:00:14,Never,Definitely not changing,Climate change isn't happening,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,True
156,293,pre,2022-09-22 14:02:12,Sometimes,Definitely changing,A little worried,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
157,294,pre,2022-09-22 14:05:59,Often,Definitely changing,A little worried,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,True
158,296,pre,2022-09-22 14:12:03,Sometimes,Maybe changing,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,True
